You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- --dsk/sdb-- --dsk/sdc-- --dsk/sdd-- --dsk/sde-- -dsk/total- ---net/lo-- --net/eth0- --net/ib2-- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ: read  writ: read  writ: read  writ: read  writ| recv  send: recv  send: recv  send: recv  send|  in   out | int   csw 
  4   0  95   0   0   0|1710k 3678k:1683k 3678k:1710k 3688k:1722k 3693k:6826k   14M|   0     0 :   0     0 :   0     0 :   0     0 |  31B  162B|1601  2201 
  0   0  99   0   0   0|   0    54k:   0    37k:  70k   98k:2503k   50k:2614k  249k|   0     0 :  37B  843B:2198k   50k:2199k   51k|   0     0 |1802  1682 
  0   0  98   1   0   0| 114k  375k:2458B   60k:  16k    0 :2896k   86k:5754k  527k| 930B  930B:  37B  959B:2962B  294k:3078B  295k|   0     0 | 757  1061 
  9   7  81   4   0   0| 417k    0 : 317k  254k: 235k   36k:2740k  549k:  10M  861k|  10B   10B:  49B  828B:9729B 1590B:9778B 2417B|   0     0 |2999  2374 
 14  11  73   1   0   0|  50k  510k:  86k  533k:  50k  607k:2567k  819B:2876k 1654k|  21k   21k:  37B  959B:9609B   26k:9838B   27k|   0     0 |4913  2104 
 57  26  14   0   0   3|  35k  468k:  18k  303k:  20k  567k:2481k  383k:2630k 2214k| 304M  304M: 115B  792B: 629M  632M: 629M  632M|   0     0 |  85k   73k
 66  23   8   0   0   4|  54k  149k:  54k   29k:8192B   44k:2491k  372k:2607k  608k| 415M  415M: 241B  959B: 693M  662M: 693M  662M|   0     0 |  87k   83k
 59  35   1   0   0   5| 116k  105M: 239k  104M:  11k   78M:2094k  465M:2461k  752M| 393M  393M:  49B 1302B: 791M  864M: 791M  864M|   0     0 |  81k   73k
 57  36   0   0   0   6| 119k  622M:  27k  544M:  11k  673M:2470k  260M:2627k 2099M| 372M  372M:  37B  300B: 803M  788M: 803M  788M|   0     0 |  69k   68k
 63  32   0   0   0   5|5734B   77M:  10k  152M:4915B   52M:2053k   77M:2075k  359M| 407M  407M:  49B  900B: 868M  854M: 868M  854M|   0     0 |  76k   72k
 62  33   0   0   0   5|1638B  181M: 819B  184M:1666k  155M: 419k  723M:2087k 1243M| 370M  370M:  37B  959B: 816M  825M: 816M  825M|   0     0 |  74k   68k
 60  34   0   0   0   6|  11k  505M:  15k  510M:2525k  452M:3277B   46M:2555k 1511M| 470M  470M:  37B  828B: 926M  874M: 926M  874M|   0     0 |  73k   87k
 54  37   2   0   0   7|8192B  296M:  12k  294M:2060k  372M:6554B  397M:2086k 1359M| 525M  525M:  85B  959B:1068M  989M:1068M  989M|   0     0 |  71k   96k
 48  33  10   1   0   8|  15k  697M:  21k  693M:2079k  725M:  15k  627M:2130k 2742M| 494M  494M: 241B  766B: 986M  959M: 986M  959M|   0     0 |  70k  105k
 47  32  14   0   0   7|6554B  206M:1638B  180M:2487k  155M: 819B  129M:2496k  670M| 615M  615M:  49B  967B:1239M 1289M:1239M 1289M|   0     0 | 101k  136k
 43  33  15   0   0   7|  21k  660M:1638B  361M:2050k  310M:  14k  671M:2086k 2001M| 528M  528M:  49B 1294B:1112M 1201M:1112M 1201M|   0     0 |  98k  128k
